Certification Name ,FILTER TYPE,LOGO LINK ,Website,Description,certifies_company,certfies_product,certifies_process,CERTIFIER,INDUSTRY ,AUDITED,AUDITED_BY,MEMBERSHIP_NETWORK,RATING_SYSTEM,CERTIFICATION,NOTES
 “Cruelty-Free”  CLAIM NOT CERTIFIED,Animal Welfare,,,,FALSE,TRUE,FALSE,The Vegan Society,"Beauty and personal care, household products, food and beverage",,,,,,
Certified Vegan,Animal Welfare,https://res.cloudinary.com/dxm6doeqd/image/upload/v1675104098/logos-certifications/hjsx4whutpqp9mqztetb.png,,Certified Vegan: certifies that products do not contain animal products,FALSE,TRUE,FALSE, The Vegan Society,"Beauty and personal care, food and beverage",,,,,,
Cruelty Free,Animal Welfare,https://res.cloudinary.com/dxm6doeqd/image/upload/v1675104063/logos-certifications/ddktm8mzzzgsd1yf3ozp.png,https://choosecrueltyfree.org.au/,Cruelty Free: certifies that products are not tested on animals,FALSE,TRUE,FALSE,PETA,Beauty and personal care,,,,,,
Leaping Bunny (cruelty-free),Animal Welfare,,,Leaping Bunny: certifies that products are not tested on animals,FALSE,TRUE,FALSE,Leaping Bunny Program,"Beauty, personal care, and household cleaning products",,,NO,NO,YES,
PETA ,Animal Welfare,,PETA: https://www.peta.org/,"the product is vegan, defined as containing no animal ingredients or by-products, using no animal ingredients or by-products in the manufacturing process, and not tested on animals by any company or independent contractor.",TRUE,TRUE,FALSE,PETA ,Various industries,,,,,,
PETA approved,Animal Welfare,,PETA approved: https://features.peta.org/cruelty-free-company-search/index.aspx,PETA approved: Certifies products and companies that do not conduct animal testing and do not use animal-derived ingredients,FALSE,TRUE,FALSE,PETA,,,,,,,
Peta Cruelty Free,Animal Welfare,,PETA: https://www.peta.org/,Peta Cruelty Free: Certifies products and companies that do not conduct animal testing and do not use animal-derived ingredients,FALSE,TRUE,FALSE,PETA,,,,,,,
Vegan,Animal Welfare,https://res.cloudinary.com/dxm6doeqd/image/upload/v1675104195/logos-certifications/ryb6hxfwhdlsmy1nhmdk.png,,Vegan: certifies that products do not contain animal products,FALSE,TRUE,FALSE,The Vegan Society,"Beauty and personal care, household products, food and beverage",,,,,,
Vegan Action Vegan Certification,Animal Welfare,https://vegan.org/wp-content/uploads/2017/07/certified_vegan_white.png,https://vegan.org/,Vegan Action: Certifies products that are free of animal products and byproducts,TRUE,TRUE,FALSE,Vegan Action,Various industries,,,NO,NO,YES,
Vegan Society,Animal Welfare,,The Vegan Society: https://www.vegansociety.com/,Vegan Society: Certifies products that are free of animal products and byproducts,FALSE,TRUE,FALSE,The Vegan Society,Various industries,,,NO,NO,YES,
100% Vegan” CLAIM NOT CERTIFIED,Animal Welfare,,,,,,,,,,,,,,
100% Vegetarian” CLAIM NOT CERTIFIED,Animal Welfare,,,,,,,,,,,,,,
“No Animal Ingredients” CLAIM NOT CERTIFIED,Animal Welfare,,,,,,,,,,,,,,
Cruelty Free & Vegan,Animal Welfare,https://res.cloudinary.com/dxm6doeqd/image/upload/v1675104081/logos-certifications/rtlgmsts3ew20eidibao.png,https://choosecrueltyfree.org.au/,Cruelty Free & Vegan: certifies that products are not tested on animals and do not contain animal products,FALSE,TRUE,,PETA,Beauty and personal care,,,,,,
PETA approved vegan,Animal Welfare,,https://petaapprovedvegan.peta.org/search-peta-approved-vegan/,,,TRUE,,,,,,NO,NO,YES,
