Name,Logo,Website,Description,CertifiesCompany,CertifiesProduct
"BIFMA LEVEL",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285565/BIFMALEVEL.jpg,https://www.bifma.org/page/level,"Certifies furniture products based on environmental impact, health and wellness, and social responsibility criteria.",FALSE,TRUE
"Blue Angel",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285566/BlueAngel.jpg,https://www.blauer-engel.de/en,"Guarantees that a product meets high environmental standards, including protecting consumers' health.",FALSE,TRUE
"Bluesign",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285552/Bluesign.jpg,https://www.bluesign.com/en,"Products are responsibly manufactured using safer chemicals and fewer resources, including less energy, in production.",FALSE,TRUE
"Carbon Neutral by Carbon Trust",https://res.cloudinary.com/dwmpianpg/image/upload/v1707284639/CarbonNeutralByCarbonTrust.jpg,https://www.carbontrust.com/,Products reduce their carbon footprint year after year and any outstanding emissions are offset.",FALSE,TRUE
"Carbon Trust Logo", https://res.cloudinary.com/dwmpianpg/image/upload/v1707285546/CarbonTrustLogo.jpg,https://www.carbontrust.com/,"Reducing CO2 products reduce their carbon footprint year after year. Certified by the Carbon Trust.",FALSE,TRUE
"Carbonfree Certified",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285546/CarbonfreeCertified.jpg,https://carbonfund.org/,"Determines the carbon footprint of the product and associated carbon emissions are offset with reduction projects.",FALSE,TRUE
"CarbonNeutral product by Climate Impact Partners",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285547/CarbonNeutralproductbyClimateImpactPartners.jpg,https://www.carbonneutral.com/,"Measures all the emissions created in the product’s manufacture, makes internal reductions and offsets the remainder.",FALSE,TRUE
"Climate neutral by ClimatePartner",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285544/ClimateNeutralbyClimatePartner.jpg,https://www.climatepartner.com/en,"Verifies the product’s carbon footprint was calculated, is continuously reduced and remaining emissions were offset.",FALSE,TRUE
"Compact by Design (Amazon developed)",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285545/CompactbyDesign%28Amazondeveloped%29.jpg,https://www.amazon.com/b?node=21221609011,"Products remove excess air and water, which reduces the carbon footprint of shipping and packaging.",FALSE,TRUE
"Cradle to Cradle Certified",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285548/CradletoCradleCertified.jpg,https://www.c2ccertified.org/,"Products are made with safer materials and responsible processes to positively impact people and our planet. Includes Bronze, Silver, Gold, and Platinum levels.",FALSE,TRUE
"ECOLOGO",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285566/ECOLOGO.jpg,https://www.ul.com/resources/ecologo-certification-program,"Certified products meet standards that can reduce the environmental impact of one or more stages of the product lifecycle.",FALSE,TRUE
"ENERGY STAR Most Efficient",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285557/ENERGYSTARMostEfficient.jpg,https://www.energystar.gov/products/most_efficient,Recognizes the best of ENERGY STAR certified products with highest efficiency and maximum carbon reductions.",FALSE,TRUE
"EPA Safer Choice",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285551/EPASaferChoice.jpg,https://www.epa.gov/saferchoice,"U.S. EPA Safer Choice certified products contain safer ingredients for human health and the environment.",FALSE,TRUE
"EPEAT",https://res.cloudinary.com/dwmpianpg/image/upload/v1707285557/EPEAT.jpg,https://globalelectronicscouncil.org/ecolabels/,"Products are assessed against criteria including energy use and have a reduced sustainability impact across their lifecycle. Includes Silver and Gold ratings.",FALSE,TRUE
